iata,longitude,latitude,iso,name,continent,type,size,timezone,icao,city,country
YFB,-68.53658,63.75175,CA,Iqaluit,NA,airport,medium,-5,CYFB,Iqaluit,Canadá
YFC,-66.52978,45.87316,CA,Fredericton,NA,airport,medium,-4,CYFC,Fredericton,Canadá
YFO,-101.683334,54.683334,CA,Flin Flon,NA,airport,medium,-6,CYFO,Flin Flon,Canadá
YFR,-113.683334,61.183334,CA,Fort Resolution,NA,airport,medium,-7,CYFR,Fort Resolution,Canadá
YFS,-121.23333,61.75,CA,Fort Simpson,NA,airport,medium,-7,CYFS,Fort Simpson,Canadá
YGK,-76.59366,44.219513,CA,Kingston,NA,airport,medium,-5,CYGK,Kingston,Canadá
YGL,-77.70639,53.629723,CA,La Grande Riviere,NA,airport,medium,-5,CYGL,La Grande Riviere,Canadá
YGP,-64.48333,48.766666,CA,Gaspe,NA,airport,medium,-5,CYGP,Gaspe,Canadá
YGQ,-86.93593,49.779892,CA,Geraldton Greenstone Regional,NA,airport,medium,-5,CYGQ,Geraldton,Canadá
YGR,-61.9,47.36667,CA,Iles De La Madeleine,NA,airport,medium,-4,CYGR,Iles De La Madeleine,Canadá
YHD,-92.833336,49.783333,CA,Dryden Rgnl,NA,airport,medium,-6,CYHD,Dryden,Canadá
YHI,-117.71667,70.71667,CA,Ulukhaktok Holman,NA,airport,medium,-7,CYHI,Holman Island,Canadá
YHK,-95.95,68.63333,CA,Gjoa Haven,NA,airport,medium,-6,CYHK,Gjoa Haven,Canadá
YHM,-79.92631,43.16138,CA,Hamilton,NA,airport,medium,-5,CYHM,Hamilton,Canadá
YHU,-73.6,45.5,CA,St Hubert,NA,airport,medium,-5,CYHU,Montreal,Canadá
YHY,-115.778336,60.845554,CA,Hay River,NA,airport,medium,-7,CYHY,Hay River,Canadá
YHZ,-63.51425,44.88496,CA,Halifax Intl,NA,airport,large,-4,CYHZ,Halifax,Canadá
YIB,-91.61667,48.75,CA,Atikokan Muni,NA,airport,medium,-6,CYIB,Atikokan,Canadá
YIO,-78,72.683334,CA,Pond Inlet,NA,airport,medium,-5,CYIO,Pond Inlet,Canadá
YJN,-73.333336,45.333332,CA,St Jean,NA,airport,medium,-5,CYJN,St. Jean,Canadá
YJT,-58.55,48.533333,CA,Stephenville,NA,airport,medium,-4,CYJT,Stephenville,Canadá
YKA,-120.442024,50.70545,CA,Kamloops,NA,airport,medium,-8,CYKA,Kamloops,Canadá
YKF,-80.385056,43.458977,CA,Waterloo,NA,airport,medium,-5,CYKF,Waterloo,Canadá
YKL,-64.816666,54.783333,CA,Schefferville,NA,airport,medium,-4,CYKL,Schefferville,Canadá
YKY,-109.17811,51.517605,CA,Kindersley,NA,airport,medium,-6,CYKY,Kindersley,Canadá
YKZ,-79.36774,43.86131,CA,Buttonville Muni,NA,airport,medium,-5,CYKZ,Toronto,Canadá
YLD,-83.352776,47.819443,CA,Chapleau,NA,airport,medium,-5,CYLD,Chapleau,Canadá
YLJ,-108.666664,54.5,CA,Meadow Lake,NA,airport,medium,-6,CYLJ,Meadow Lake,Canadá
YLL,-110.072716,53.31297,CA,Lloydminster,NA,airport,medium,-6,CYLL,Lloydminster,Canadá
YLT,-62.283333,82.51667,CA,Alert,NA,airport,medium,-5,CYLT,Alerta,Canadá
YLW,-119.38139,49.95154,CA,Kelowna,NA,airport,medium,-8,CYLW,Kelowna,Canadá
YMA,-135.87361,63.61639,CA,Mayo,NA,airport,medium,-8,CYMA,Mayonesa,Canadá
YMJ,-105.53333,50.38333,CA,Moose Jaw Air Vice Marshal C M Mcewen,NA,airport,medium,-6,CYMJ,Moose Jaw,Canadá
YMM,-111.22395,56.65659,CA,Fort Mcmurray,NA,airport,medium,-7,CYMM,Fort Mcmurray,Canadá
YMO,-80.604164,51.29111,CA,Moosonee,NA,airport,medium,-5,CYMO,Moosonee,Canadá
YMX,-74.03,45.666668,CA,Montreal Intl Mirabel,NA,airport,medium,-5,CYMX,Montreal,Canadá
YNA,-61.8,50.183334,CA,Natashquan,NA,airport,medium,-4,CYNA,Natashquan,Canadá
YND,-75.56283,45.52063,CA,Gatineau,NA,airport,medium,-5,CYND,Gatineau,Canadá
YNM,-77.8,49.75,CA,Matagami,NA,airport,medium,-5,CYNM,Matagami,Canadá
YOC,-139.83333,67.583336,CA,Old Crow,NA,airport,medium,-8,CYOC,Old Crow,Canadá
YOD,-110.25,54.466667,CA,Cold Lake,NA,airport,medium,-7,CYOD,Cold Lake,Canadá
YOJ,-117.168335,58.618332,CA,High Level,NA,airport,medium,-7,CYOJ,Alto Nivel,Canadá
YOW,-75.672775,45.32083,CA,Ottawa Macdonald Cartier Intl,NA,airport,large,-5,CYOW,Ottawa,Canadá
YPA,-105.683334,53.216667,CA,Prince Albert Glass Field,NA,airport,medium,-6,CYPA,Prince Albert,Canadá
YPE,-117.44028,56.22778,CA,Peace River,NA,airport,medium,-7,CYPE,Peace River,Canadá
YPG,-98.3,49.966667,CA,Southport,NA,airport,medium,-6,CYPG,Portage-la-pradera,Canadá
YPL,-90.208336,51.208332,CA,Pickle Lake,NA,airport,medium,-6,CYPL,Pickle Lake,Canadá
YPN,-64.28831,49.836533,CA,Port Menier,NA,airport,medium,-5,CYPN,Puerto Menier,Canadá
YPQ,-78.316666,44.3,CA,Peterborough,NA,airport,medium,-5,CYPQ,Peterborough,Canadá
YPR,-130.44083,54.287224,CA,Prince Rupert,NA,airport,medium,-8,CYPR,Prince Pupert,Canadá
YPY,-111.11406,58.76799,CA,Fort Chipewyan,NA,airport,medium,-7,CYPY,Fort Chipewyan,Canadá
YQA,-79.3,44.966667,CA,Muskoka,NA,airport,medium,-5,CYQA,Muskoka,Canadá
YQB,-71.383385,46.792038,CA,Quebec Jean Lesage Intl,NA,airport,large,-5,CYQB,Quebec,Canadá
YQF,-113.89333,52.176945,CA,Red Deer Regional,NA,airport,medium,-7,CYQF,Red Deer Industrial,Canadá
YQG,-82.96389,42.274166,CA,Windsor,NA,airport,medium,-5,CYQG,Windsor,Canadá
YQH,-128.825,60.12361,CA,Watson Lake,NA,airport,medium,-8,CYQH,Watson Lake,Canadá
YQK,-94.35833,49.7875,CA,Kenora,NA,airport,medium,-6,CYQK,Kenora,Canadá
YQL,-112.791664,49.631943,CA,Lethbridge,NA,airport,medium,-7,CYQL,Lethbridge,Canadá
YQM,-64.68123,46.104774,CA,Greater Moncton Intl,NA,airport,medium,-4,CYQM,Moncton,Canadá
YQQ,-124.907814,49.705864,CA,Comox,NA,airport,medium,-8,CYQQ,Comox,Canadá
YQR,-104.65519,50.433327,CA,Regina Intl,NA,airport,medium,-6,CYQR,Regina,Canadá
YQT,-89.31167,48.37184,CA,Thunder Bay,NA,airport,medium,-5,CYQT,Thunder Bay,Canadá
YQU,-118.873604,55.177074,CA,Grande Prairie,NA,airport,medium,-7,CYQU,Grande Prairie,Canadá
YQV,-102.45935,51.264095,CA,Yorkton Muni,NA,airport,medium,-6,CYQV,Yorkton,Canadá
YQW,-108.25,52.766666,CA,North Battleford,NA,airport,medium,-6,CYQW,North Battleford,Canadá
YQX,-54.56333,48.946667,CA,Gander Intl,NA,airport,medium,-4,CYQX,Ganso,Canadá
YQY,-60.05,46.166668,CA,Sydney,NA,airport,medium,-4,CYQY,Sydney,Canadá
YQZ,-122.50972,53.02667,CA,Quesnel,NA,airport,medium,-8,CYQZ,Quesnel,Canadá
YRB,-94.96667,74.71667,CA,Resolute Bay,NA,airport,medium,-6,CYRB,Resuelto,Canadá
YRI,-69.53333,47.833332,CA,Riviere Du Loup,NA,airport,medium,-5,CYRI,Riviere Du Loup,Canadá
YRJ,-72.26733,48.522343,CA,Roberval,NA,airport,medium,-5,CYRJ,Roberval,Canadá
YRT,-92.10019,62.80998,CA,Rankin Inlet,NA,airport,medium,-6,CYRT,Rankin Inlet,Canadá
YSB,-80.79592,46.62296,CA,Sudbury,NA,airport,medium,-5,CYSB,Sudbury,Canadá
YSC,-71.9,45.416668,CA,Sherbrooke,NA,airport,medium,-5,CYSC,Sherbrooke,Canadá
YSJ,-65.8902,45.32948,CA,Saint John,NA,airport,medium,-4,CYSJ,St. John,Canadá
YSM,-111.96667,60.016666,CA,Fort Smith,NA,airport,medium,-7,CYSM,Fort Smith,Canadá
YSR,-84.613611,72.982222,CA,Nanisivik,NA,closed,null,-5,CYSR,Nanisivik,Canadá
YSU,-57.983334,49,CA,Summerside,NA,airport,medium,-4,CYSU,Summerside,Canadá
YSY,-125.24104,71.99145,CA,Sachs Harbour,NA,airport,medium,-7,CYSY,Sachs Harbour,Canadá
YTE,-76.53333,64.23333,CA,Cape Dorset,NA,airport,medium,-5,CYTE,Cape Dorset,Canadá
YTH,-97.8605,55.79753,CA,Thompson,NA,airport,medium,-6,CYTH,Thompson,Canadá
YTR,-77.583336,44.1,CA,Trenton,NA,airport,medium,-5,CYTR,Trenton,Canadá
YTS,-81.37164,48.566372,CA,Timmins,NA,airport,medium,-5,CYTS,Timmins,Canadá
YTZ,-79.39585,43.632023,CA,City Centre,NA,airport,medium,-5,CYTZ,Toronto,Canadá
YUB,-133.025,69.436386,CA,Tuktoyaktuk,NA,airport,medium,-7,CYUB,Tuktoyaktuk,Canadá
YUL,-73.74991,45.457714,CA,Pierre Elliott Trudeau Intl,NA,airport,large,-5,CYUL,Montreal,Canadá
YUT,-86.25,66.53333,CA,Repulse Bay,NA,airport,medium,-6,CYUT,Repulse Bay,Canadá
YUX,-81.25,68.78333,CA,Hall Beach,NA,airport,medium,-5,CYUX,Hall Beach,Canadá
YUY,-78.83056,48.205555,CA,Rouyn Noranda,NA,airport,medium,-5,CYUY,Rouyn,Canadá
YVC,-105.26066,55.15126,CA,La Ronge,NA,airport,medium,-6,CYVC,La Ronge,Canadá
YVM,-63.833332,67.583336,CA,Qikiqtarjuaq,NA,airport,medium,-5,CYVM,Broughton Island,Canadá
YVO,-77.78858,48.052605,CA,Val D Or,NA,airport,medium,-5,CYVO,Val D'or,Canadá
YVP,-68.41798,58.10024,CA,Kuujjuaq,NA,airport,medium,-5,CYVP,Quujjuaq,Canadá
YVQ,-126.79337,65.277855,CA,Norman Wells,NA,airport,medium,-7,CYVQ,Norman Wells,Canadá
YVR,-123.17919,49.1947,CA,Vancouver Intl,NA,airport,large,-8,CYVR,Vancouver,Canadá
YVT,-108.46667,55.86667,CA,Buffalo Narrows,NA,airport,small,-6,CYVT,Buffalo Narrows,Canadá
YVV,-81.166664,44.666668,CA,Wiarton,NA,airport,medium,-5,CYVV,Wiarton,Canadá
YWA,-77.28333,45.9,CA,Petawawa,NA,airport,medium,-5,CYWA,Petawawa,Canadá
YWG,-97.23333,49.9,CA,Winnipeg Intl,NA,airport,large,-6,CYWG,Winnipeg,Canadá
YWK,-66.874,52.926315,CA,Wabush,NA,airport,medium,-4,CYWK,Wabush,Canadá
YWL,-122.04444,52.184723,CA,Williams Lake,NA,airport,medium,-8,CYWL,Williams Lake,Canadá
YWY,-123.438614,63.210556,CA,Wrigley,NA,airport,medium,-7,CYWY,Wrigley,Canadá
YXC,-115.787025,49.61437,CA,Canadian Rockies Intl,NA,airport,medium,-7,CYXC,Cranbrook,Canadá
YXD,-113.51667,53.566666,CA,Edmonton City Centre,NA,airport,medium,-7,CYXD,Edmonton,Canadá
YXE,-106.69037,52.169704,CA,Saskatoon J G Diefenbaker Intl,NA,airport,medium,-6,CYXE,Saskatoon,Canadá
YXH,-110.72083,50.015835,CA,Medicine Hat,NA,airport,medium,-7,CYXH,Medicine Hat,Canadá
YXJ,-120.73437,56.247883,CA,Fort St John,NA,airport,medium,-8,CYXJ,Fuerte de San Juan,Canadá
YXL,-91.903,50.115208,CA,Sioux Lookout,NA,airport,medium,-6,CYXL,Sioux Lookout,Canadá
YXP,-65.73333,66.13333,CA,Pangnirtung,NA,airport,medium,-5,CYXP,Pangnirtung,Canadá
YXR,-79.851944,47.697224,CA,Timiskaming Rgnl,NA,airport,medium,-5,CYXR,Earlton,Canadá
YXS,-122.67396,53.88381,CA,Prince George,NA,airport,medium,-8,CYXS,Prince George,Canadá
YXT,-128.57445,54.465557,CA,Terrace,NA,airport,medium,-8,CYXT,Terraza,Canadá
YXU,-81.14965,43.02802,CA,London,NA,airport,large,-5,CYXU,Londres,Canadá
YXX,-122.361946,49.025555,CA,Abbotsford,NA,airport,medium,-8,CYXX,Abbotsford,Canadá
YXY,-135.06667,60.716667,CA,Whitehorse Intl,NA,airport,medium,-8,CYXY,Whitehorse,Canadá
YYB,-79.42725,46.356823,CA,North Bay,NA,airport,medium,-5,CYYB,North Bay,Canadá
YYC,-114.01055,51.131393,CA,Calgary Intl,NA,airport,large,-7,CYYC,Calgary,Canadá
YYD,-127.180275,54.825558,CA,Smithers,NA,airport,medium,-8,CYYD,Smithers,Canadá
YYE,-122.583336,58.833332,CA,Fort Nelson,NA,airport,medium,-8,CYYE,Fort Nelson,Canadá
YYF,-119.6,49.46472,CA,Penticton,NA,airport,medium,-8,CYYF,Penticton,Canadá
YYG,-63.131737,46.285896,CA,Charlottetown,NA,airport,medium,-4,CYYG,Charlottetown,Canadá
YYH,-93.51667,69.53333,CA,Taloyoak,NA,airport,medium,-6,CYYH,Spence Bay,Canadá
YYJ,-123.43096,48.640266,CA,Victoria Intl,NA,airport,large,-8,CYYJ,Victoria,Canadá
YYL,-101.066666,56.86667,CA,Lynn Lake,NA,airport,medium,-6,CYYL,Lynn Lake,Canadá
YYN,-107.833336,50.283333,CA,Swift Current,NA,airport,medium,-6,CYYN,Swift Current,Canadá
YYQ,-94.07449,58.74819,CA,Churchill,NA,airport,medium,-6,CYYQ,Churchill,Canadá
YYR,-60.4124,53.313534,CA,Goose Bay,NA,airport,medium,-4,CYYR,Goose Bay,Canadá
YYT,-52.74334,47.61282,CA,St Johns Intl,NA,airport,medium,-3.5,CYYT,San Juan de Terranova,Canadá
YYU,-82.47083,49.4125,CA,Kapuskasing,NA,airport,medium,-5,CYYU,Kapuskasing,Canadá
YYW,-88.91173,50.29431,CA,Armstrong,NA,airport,medium,-5,CYYW,Armstrong,Canadá
YYY,-68.2,48.6,CA,Mont Joli,NA,airport,medium,-5,CYYY,Mont Joli,Canadá
YYZ,-79.61146,43.681583,CA,Lester B Pearson Intl,NA,airport,large,-5,CYYZ,Toronto,Canadá
YZD,-79.46555,43.74278,CA,Downsview,NA,airport,medium,-5,CYZD,Toronto,Canadá
YZE,-82.56778,45.885277,CA,Gore Bay Manitoulin,NA,airport,medium,-5,CYZE,Gore Bay,Canadá
YZF,-114.4375,62.470867,CA,Yellowknife,NA,airport,medium,-7,CYZF,Yellowknife,Canadá
YZH,-114.78333,55.3,CA,Slave Lake,NA,airport,medium,-7,CYZH,Lago del Esclavo,Canadá
YZP,-131.81277,53.254444,CA,Sandspit,NA,airport,medium,-8,CYZP,Sandspit,Canadá
YZR,-82.31111,42.997223,CA,Chris Hadfield,NA,airport,medium,-5,CYZR,Sarnia,Canadá
YZT,-127.36389,50.680557,CA,Port Hardy,NA,airport,medium,-8,CYZT,Port Hardy,Canadá
YZU,-115.78333,54.15,CA,Whitecourt,NA,airport,medium,-7,CYZU,Whitecourt,Canadá
YZV,-66.26404,50.21751,CA,Sept Iles,NA,airport,medium,-5,CYZV,Sept-iles,Canadá
YZW,-132.71666,60.166668,CA,Teslin,NA,airport,medium,-8,CYZW,Teslin,Canadá
YZX,-118.666664,49.166668,CA,Greenwood,NA,airport,medium,-4,CYZX,Greenwood,Canadá
ZFA,-133.36667,63.216667,CA,Faro,NA,airport,medium,-8,CZFA,Faraón,Canadá
ZFM,-134.95277,67.477776,CA,Fort Mcpherson,NA,airport,medium,-7,CZFM,Fort Mcpherson,Canadá
BJA,5.083333,36.75,DZ,Soummam,AF,airport,medium,1,DAAE,Bejaja,Argelia
ALG,3.21167,36.70058,DZ,Houari Boumediene,AF,airport,large,1,DAAG,Algier,Argelia
DJG,9.488889,24.465279,DZ,Tiska,AF,airport,medium,1,DAAJ,Djanet,Argelia
QFD,2.876111,36.545834,DZ,Boufarik,AF,airport,medium,1,DAAK,Boufarik,Argelia
VVZ,8.55,26.533333,DZ,Illizi Takhamalt,AF,airport,medium,1,DAAP,Illizi,Argelia
TMR,5.459167,22.814722,DZ,Tamanrasset,AF,airport,medium,1,DAAT,Tamanrasset,Argelia
GJL,5.883333,36.8,DZ,Jijel,AF,airport,medium,1,DAAV,Jijel,Argelia
AAE,7.811857,36.821392,DZ,Annaba,AF,airport,medium,1,DABB,Annaba,Argelia
CZL,6.618425,36.286476,DZ,Mohamed Boudiaf Intl,AF,airport,medium,1,DABC,Constantino,Argelia
TEE,8.124067,35.428593,DZ,Cheikh Larbi Tebessi,AF,airport,medium,1,DABS,Tebessa,Argelia
HRM,3.2,33.166668,DZ,Hassi R Mel,AF,airport,medium,1,DAFH,Tilrempt,Argelia
TID,1.46946,35.343273,DZ,Bou Chekif,AF,airport,medium,1,DAOB,Tiaret,Argelia
TIN,-8.163246,27.701162,DZ,Tindouf,AF,airport,medium,1,DAOF,Tindouf,Argelia
QAS,1.331775,36.212658,DZ,Ech Cheliff,AF,airport,medium,1,DAOI,Ech-Cheliff,Argelia
TAF,-0.610556,35.627777,DZ,Tafaraoui,AF,airport,medium,1,DAOL,Oran,Argelia
TLM,-1.45,35.016666,DZ,Zenata,AF,airport,medium,1,DAON,Tlemcen,Argelia
ORN,-0.606108,35.620018,DZ,Es Senia,AF,airport,medium,1,DAOO,Oran,Argelia
MUW,0.147669,35.208534,DZ,Ghriss,AF,airport,medium,1,DAOV,Ghriss,Argelia
AZR,-0.283333,27.883333,DZ,Touat Cheikh Sidi Mohamed Belkebir,AF,airport,medium,1,DAUA,Adrar,Argelia
BSK,5.738056,34.79333,DZ,Biskra,AF,airport,medium,1,DAUB,Biskra,Argelia
ELG,2.864722,30.5675,DZ,El Golea,AF,airport,medium,1,DAUE,El Golea,Argelia
GHA,3.800556,32.38222,DZ,Noumerat,AF,airport,medium,1,DAUG,Ghardaia,Argelia
HME,6.145436,31.675303,DZ,Oued Irara,AF,airport,medium,1,DAUH,Hassi Messaoud,Argelia
INZ,2.516667,27.25,DZ,In Salah,AF,airport,medium,1,DAUI,En Salah,Argelia
TGR,6.089239,33.066948,DZ,Sidi Mahdi,AF,airport,medium,1,DAUK,Touggourt,Argelia
LOO,2.934811,33.76102,DZ,Laghouat,AF,airport,medium,1,DAUL,Laghouat,Argelia
TMX,0.284086,29.24174,DZ,Timimoun,AF,airport,medium,1,DAUT,Timimoun,Argelia
OGX,5.4,31.916668,DZ,Ouargla,AF,airport,medium,1,DAUU,Ouargla,Argelia
IAM,9.638056,28.051111,DZ,In Amenas,AF,airport,medium,1,DAUZ,Zarzaitine,Argelia
COO,2.385271,6.353097,BJ,Cadjehoun,AF,airport,medium,1,DBBB,Cotonou,Benin
OUA,-1.514283,12.355019,BF,Ouagadougou,AF,airport,medium,0,DFFD,Ouagadougou,Burkina Faso
BOY,-4.324444,11.163611,BF,Bobo Dioulasso,AF,airport,medium,0,DFOO,Bobo-Dioulasso,Burkina Faso
ACC,-0.171769,5.60737,GH,Kotoka Intl,AF,airport,large,0,DGAA,Accra,Ghana
TML,-0.876603,9.409979,GH,Tamale,AF,airport,medium,0,DGLE,Tamale,Ghana
NYI,-2.329254,7.360586,GH,Sunyani,AF,airport,medium,0,DGSN,Sunyani,Ghana
TKD,-1.773912,34.892727,GH,Takoradi,AF,airport,medium,0,DGTK,Takoradi,Ghana
ABJ,-3.933015,5.254879,CI,Abidjan Felix Houphouet Boigny Intl,AF,airport,medium,0,DIAP,Abidjan,Costa de Marfil
BYK,-5.069167,7.739444,CI,Bouake,AF,airport,medium,0,DIBK,Bouaké,Costa de Marfil
DJO,-6.466667,6.866944,CI,Daloa,AF,airport,medium,0,DIDL,Daloa,Costa de Marfil
HGO,-5.616667,9.413889,CI,Korhogo,AF,airport,medium,0,DIKO,Korhogo,Costa de Marfil
MJC,-7.528333,7.381667,CI,Man,AF,airport,medium,0,DIMN,Hombre,Costa de Marfil
SPY,-6.626944,4.730278,CI,San Pedro,AF,airport,medium,0,DISP,San Pedro,Costa de Marfil
ASK,-5.283333,6.816667,CI,Yamoussoukro,AF,airport,medium,0,DIYO,Yamoussoukro,Costa de Marfil
ABV,7.270447,9.004614,NG,Nnamdi Azikiwe Intl,AF,airport,large,1,DNAA,Abuja,Nigeria
AKR,5.083333,7.25,NG,Akure,AF,airport,medium,1,DNAK,Akure,Nigeria
BNI,5.603863,6.316943,NG,Benin,AF,airport,medium,1,DNBE,Benin,Nigeria
CBQ,8.347415,4.96889,NG,Calabar,AF,airport,medium,1,DNCA,Calabar,Nigeria
ENU,7.56772,6.472048,NG,Enugu,AF,airport,medium,1,DNEN,Enugu,Nigeria
QUS,6.696111,12.171667,NG,Gusau,AF,airport,medium,1,DNGU,Gusau,Nigeria
IBA,3.976361,7.360181,NG,Ibadan,AF,airport,medium,1,DNIB,Ibadan,Nigeria
ILR,4.533333,8.5,NG,Ilorin,AF,airport,medium,1,DNIL,Ilorin,Nigeria
JOS,8.893056,9.868056,NG,Yakubu Gowon,AF,airport,medium,1,DNJO,Jos,Nigeria
KAD,7.440278,10.595833,NG,Kaduna,AF,airport,medium,1,DNKA,Kaduna,Nigeria
KAN,8.522271,12.045549,NG,Mallam Aminu Intl,AF,airport,medium,1,DNKN,Kano,Nigeria
MIU,13.082928,11.855487,NG,Maiduguri,AF,airport,medium,1,DNMA,Maiduguri,Nigeria
MDI,8.533333,7.75,NG,Makurdi,AF,airport,medium,1,DNMK,Makurdi,Nigeria
LOS,3.321178,6.577871,NG,Murtala Muhammed,AF,airport,large,1,DNMM,Lagos,Nigeria
MXJ,6.533333,9.616667,NG,Minna New,AF,airport,medium,1,DNMN,Minna,Nigeria
PHC,6.9499,5.006506,NG,Port Harcourt Intl,AF,airport,medium,1,DNPO,Puerto Hartcourt,Nigeria
SKO,5.242222,13.006389,NG,Sadiq Abubakar Iii Intl,AF,airport,medium,1,DNSO,Sokoto,Nigeria
YOL,12.428114,9.266729,NG,Yola,AF,airport,medium,1,DNYO,Yola,Nigeria
ZAR,7.666667,11,NG,Zaria,AF,airport,medium,1,DNZA,Zaria,Nigeria
MFQ,7.125278,13.5025,NE,Maradi,AF,airport,medium,1,DRRM,Maradi,Níger
NIM,2.177158,13.476534,NE,Diori Hamani,AF,airport,medium,1,DRRN,Niamey,Níger
