iata,longitude,latitude,iso,name,continent,type,size,timezone,icao,city,country,city,country
YDB,-139.01666,61.35,CA,Burwash,NA,airport,medium,-8,CYDB,Burwash,Canada,Burwash,Kanada
YDF,-57.399727,49.21027,CA,Deer Lake,NA,airport,medium,-4,CYDF,Deer Lake,Canada,Deer Lake,Kanada
YDN,-100.05,51.1,CA,Dauphin Barker,NA,airport,medium,-6,CYDN,Dauphin,Canada,Dauphin,Kanada
YDQ,-120.183334,55.733334,CA,Dawson Creek,NA,airport,medium,-7,CYDQ,Dawson Creek,Canada,Dawson Creek,Kanada
YEG,-113.584045,53.307377,CA,Edmonton Intl,NA,airport,large,-7,CYEG,Edmonton,Canada,Edmonton,Kanada
YEK,-94.05,61.11667,CA,Arviat,NA,airport,medium,-6,CYEK,Eskimo Point,Canada,Eskimo Punkt,Kanada
YEN,-102.96282,49.207542,CA,Estevan,NA,airport,medium,-6,CYEN,Estevan,Canada,Estevan,Kanada
YET,-116.46667,53.583332,CA,Edson,NA,airport,medium,-7,CYET,Edson,Canada,Edson,Kanada
YEU,-85.933334,80,CA,Eureka,NA,airport,small,-6,CYEU,Eureka,Canada,Eureka,Kanada
YEV,-133.49767,68.30665,CA,Inuvik Mike Zubko,NA,airport,medium,-7,CYEV,Inuvik,Canada,Inuvik,Kanada
YFB,-68.53658,63.75175,CA,Iqaluit,NA,airport,medium,-5,CYFB,Iqaluit,Canada,Iqaluit,Kanada
YFC,-66.52978,45.87316,CA,Fredericton,NA,airport,medium,-4,CYFC,Fredericton,Canada,Fredericton,Kanada
YFO,-101.683334,54.683334,CA,Flin Flon,NA,airport,medium,-6,CYFO,Flin Flon,Canada,Flin Flon,Kanada
YFR,-113.683334,61.183334,CA,Fort Resolution,NA,airport,medium,-7,CYFR,Fort Resolution,Canada,Fort Resolution,Kanada
YFS,-121.23333,61.75,CA,Fort Simpson,NA,airport,medium,-7,CYFS,Fort Simpson,Canada,Fort Simpson,Kanada
YGK,-76.59366,44.219513,CA,Kingston,NA,airport,medium,-5,CYGK,Kingston,Canada,Kingston,Kanada
YGL,-77.70639,53.629723,CA,La Grande Riviere,NA,airport,medium,-5,CYGL,La Grande Riviere,Canada,La Grande Riviere,Kanada
YGP,-64.48333,48.766666,CA,Gaspe,NA,airport,medium,-5,CYGP,Gaspe,Canada,Gaspe,Kanada
YGQ,-86.93593,49.779892,CA,Geraldton Greenstone Regional,NA,airport,medium,-5,CYGQ,Geraldton,Canada,Geraldton,Kanada
YGR,-61.9,47.36667,CA,Iles De La Madeleine,NA,airport,medium,-4,CYGR,Iles De La Madeleine,Canada,Iles De La Madeleine,Kanada
YHD,-92.833336,49.783333,CA,Dryden Rgnl,NA,airport,medium,-6,CYHD,Dryden,Canada,Dryden,Kanada
YHI,-117.71667,70.71667,CA,Ulukhaktok Holman,NA,airport,medium,-7,CYHI,Holman Island,Canada,Holman Insel,Kanada
YHK,-95.95,68.63333,CA,Gjoa Haven,NA,airport,medium,-6,CYHK,Gjoa Haven,Canada,Gjoa Haven,Kanada
YHM,-79.92631,43.16138,CA,Hamilton,NA,airport,medium,-5,CYHM,Hamilton,Canada,Hamilton,Kanada
YHU,-73.6,45.5,CA,St Hubert,NA,airport,medium,-5,CYHU,Montreal,Canada,Montreal,Kanada
YHY,-115.778336,60.845554,CA,Hay River,NA,airport,medium,-7,CYHY,Hay River,Canada,Hay River,Kanada
YHZ,-63.51425,44.88496,CA,Halifax Intl,NA,airport,large,-4,CYHZ,Halifax,Canada,Halifax,Kanada
YIB,-91.61667,48.75,CA,Atikokan Muni,NA,airport,medium,-6,CYIB,Atikokan,Canada,Atikokan,Kanada
YIO,-78,72.683334,CA,Pond Inlet,NA,airport,medium,-5,CYIO,Pond Inlet,Canada,Pond Inlet,Kanada
YJN,-73.333336,45.333332,CA,St Jean,NA,airport,medium,-5,CYJN,St. Jean,Canada,St. Jean,Kanada
YJT,-58.55,48.533333,CA,Stephenville,NA,airport,medium,-4,CYJT,Stephenville,Canada,Stephenville,Kanada
YKA,-120.442024,50.70545,CA,Kamloops,NA,airport,medium,-8,CYKA,Kamloops,Canada,Kamloops,Kanada
YKF,-80.385056,43.458977,CA,Waterloo,NA,airport,medium,-5,CYKF,Waterloo,Canada,Waterloo,Kanada
YKL,-64.816666,54.783333,CA,Schefferville,NA,airport,medium,-4,CYKL,Schefferville,Canada,Schefferville,Kanada
YKY,-109.17811,51.517605,CA,Kindersley,NA,airport,medium,-6,CYKY,Kindersley,Canada,Kindersley,Kanada
YKZ,-79.36774,43.86131,CA,Buttonville Muni,NA,airport,medium,-5,CYKZ,Toronto,Canada,Toronto,Kanada
YLD,-83.352776,47.819443,CA,Chapleau,NA,airport,medium,-5,CYLD,Chapleau,Canada,Chapleau,Kanada
YLJ,-108.666664,54.5,CA,Meadow Lake,NA,airport,medium,-6,CYLJ,Meadow Lake,Canada,Meadow Lake,Kanada
YLL,-110.072716,53.31297,CA,Lloydminster,NA,airport,medium,-6,CYLL,Lloydminster,Canada,Lloydminster,Kanada
YLT,-62.283333,82.51667,CA,Alert,NA,airport,medium,-5,CYLT,Alert,Canada,Alarm,Kanada
YLW,-119.38139,49.95154,CA,Kelowna,NA,airport,medium,-8,CYLW,Kelowna,Canada,Kelowna,Kanada
YMA,-135.87361,63.61639,CA,Mayo,NA,airport,medium,-8,CYMA,Mayo,Canada,Mayo,Kanada
YMJ,-105.53333,50.38333,CA,Moose Jaw Air Vice Marshal C M Mcewen,NA,airport,medium,-6,CYMJ,Moose Jaw,Canada,Moose Jaw,Kanada
YMM,-111.22395,56.65659,CA,Fort Mcmurray,NA,airport,medium,-7,CYMM,Fort Mcmurray,Canada,Fort Mcmurray,Kanada
YMO,-80.604164,51.29111,CA,Moosonee,NA,airport,medium,-5,CYMO,Moosonee,Canada,Moosonee,Kanada
YMX,-74.03,45.666668,CA,Montreal Intl Mirabel,NA,airport,medium,-5,CYMX,Montreal,Canada,Montreal,Kanada
YNA,-61.8,50.183334,CA,Natashquan,NA,airport,medium,-4,CYNA,Natashquan,Canada,Natashquan,Kanada
YND,-75.56283,45.52063,CA,Gatineau,NA,airport,medium,-5,CYND,Gatineau,Canada,Gatineau,Kanada
YNM,-77.8,49.75,CA,Matagami,NA,airport,medium,-5,CYNM,Matagami,Canada,Matagami,Kanada
YOC,-139.83333,67.583336,CA,Old Crow,NA,airport,medium,-8,CYOC,Old Crow,Canada,Old Crow,Kanada
YOD,-110.25,54.466667,CA,Cold Lake,NA,airport,medium,-7,CYOD,Cold Lake,Canada,Cold Lake,Kanada
YOJ,-117.168335,58.618332,CA,High Level,NA,airport,medium,-7,CYOJ,High Level,Canada,High Level,Kanada
YOW,-75.672775,45.32083,CA,Ottawa Macdonald Cartier Intl,NA,airport,large,-5,CYOW,Ottawa,Canada,Ottawa,Kanada
YPA,-105.683334,53.216667,CA,Prince Albert Glass Field,NA,airport,medium,-6,CYPA,Prince Albert,Canada,Prince Albert,Kanada
YPE,-117.44028,56.22778,CA,Peace River,NA,airport,medium,-7,CYPE,Peace River,Canada,Peace River,Kanada
YPG,-98.3,49.966667,CA,Southport,NA,airport,medium,-6,CYPG,Portage-la-prairie,Canada,Portage la Prairie,Kanada
YPL,-90.208336,51.208332,CA,Pickle Lake,NA,airport,medium,-6,CYPL,Pickle Lake,Canada,Pickle Lake,Kanada
YPN,-64.28831,49.836533,CA,Port Menier,NA,airport,medium,-5,CYPN,Port Menier,Canada,Port-Menier,Kanada
YPQ,-78.316666,44.3,CA,Peterborough,NA,airport,medium,-5,CYPQ,Peterborough,Canada,Peterborough,Kanada
YPR,-130.44083,54.287224,CA,Prince Rupert,NA,airport,medium,-8,CYPR,Prince Pupert,Canada,Prince Pupert,Kanada
YPY,-111.11406,58.76799,CA,Fort Chipewyan,NA,airport,medium,-7,CYPY,Fort Chipewyan,Canada,Fort Chipewyan,Kanada
YQA,-79.3,44.966667,CA,Muskoka,NA,airport,medium,-5,CYQA,Muskoka,Canada,Muskoka,Kanada
YQB,-71.383385,46.792038,CA,Quebec Jean Lesage Intl,NA,airport,large,-5,CYQB,Quebec,Canada,Quebec,Kanada
YQF,-113.89333,52.176945,CA,Red Deer Regional,NA,airport,medium,-7,CYQF,Red Deer Industrial,Canada,Red Deer Industrie,Kanada
YQG,-82.96389,42.274166,CA,Windsor,NA,airport,medium,-5,CYQG,Windsor,Canada,Windsor,Kanada
YQH,-128.825,60.12361,CA,Watson Lake,NA,airport,medium,-8,CYQH,Watson Lake,Canada,Watson Lake,Kanada
YQK,-94.35833,49.7875,CA,Kenora,NA,airport,medium,-6,CYQK,Kenora,Canada,Kenora,Kanada
YQL,-112.791664,49.631943,CA,Lethbridge,NA,airport,medium,-7,CYQL,Lethbridge,Canada,Lethbridge,Kanada
YQM,-64.68123,46.104774,CA,Greater Moncton Intl,NA,airport,medium,-4,CYQM,Moncton,Canada,Moncton,Kanada
YQQ,-124.907814,49.705864,CA,Comox,NA,airport,medium,-8,CYQQ,Comox,Canada,Comox,Kanada
YQR,-104.65519,50.433327,CA,Regina Intl,NA,airport,medium,-6,CYQR,Regina,Canada,Regina,Kanada
YQT,-89.31167,48.37184,CA,Thunder Bay,NA,airport,medium,-5,CYQT,Thunder Bay,Canada,Thunder Bay,Kanada
YQU,-118.873604,55.177074,CA,Grande Prairie,NA,airport,medium,-7,CYQU,Grande Prairie,Canada,Grande Prairie,Kanada
YQV,-102.45935,51.264095,CA,Yorkton Muni,NA,airport,medium,-6,CYQV,Yorkton,Canada,Yorkton,Kanada
YQW,-108.25,52.766666,CA,North Battleford,NA,airport,medium,-6,CYQW,North Battleford,Canada,North Battleford,Kanada
YQX,-54.56333,48.946667,CA,Gander Intl,NA,airport,medium,-4,CYQX,Gander,Canada,Gänserich,Kanada
YQY,-60.05,46.166668,CA,Sydney,NA,airport,medium,-4,CYQY,Sydney,Canada,Sydney,Kanada
YQZ,-122.50972,53.02667,CA,Quesnel,NA,airport,medium,-8,CYQZ,Quesnel,Canada,Quesnel,Kanada
YRB,-94.96667,74.71667,CA,Resolute Bay,NA,airport,medium,-6,CYRB,Resolute,Canada,Entschlossen,Kanada
YRI,-69.53333,47.833332,CA,Riviere Du Loup,NA,airport,medium,-5,CYRI,Riviere Du Loup,Canada,Riviere Du Loup,Kanada
YRJ,-72.26733,48.522343,CA,Roberval,NA,airport,medium,-5,CYRJ,Roberval,Canada,Roberval,Kanada
YRT,-92.10019,62.80998,CA,Rankin Inlet,NA,airport,medium,-6,CYRT,Rankin Inlet,Canada,Rankin Inlet,Kanada
YSB,-80.79592,46.62296,CA,Sudbury,NA,airport,medium,-5,CYSB,Sudbury,Canada,Sudbury,Kanada
YSC,-71.9,45.416668,CA,Sherbrooke,NA,airport,medium,-5,CYSC,Sherbrooke,Canada,Sherbrooke,Kanada
YSJ,-65.8902,45.32948,CA,Saint John,NA,airport,medium,-4,CYSJ,St. John,Canada,St. John,Kanada
YSM,-111.96667,60.016666,CA,Fort Smith,NA,airport,medium,-7,CYSM,Fort Smith,Canada,Fort Smith,Kanada
YSR,,,CA,Nanisivik,NA,closed,null,-5,CYSR,Nanisivik,Canada,Nanisivik,Kanada
YSU,-57.983334,49,CA,Summerside,NA,airport,medium,-4,CYSU,Summerside,Canada,Summerside,Kanada
YSY,-125.24104,71.99145,CA,Sachs Harbour,NA,airport,medium,-7,CYSY,Sachs Harbour,Canada,Sachs Harbour,Kanada
YTE,-76.53333,64.23333,CA,Cape Dorset,NA,airport,medium,-5,CYTE,Cape Dorset,Canada,Cape Dorset,Kanada
YTH,-97.8605,55.79753,CA,Thompson,NA,airport,medium,-6,CYTH,Thompson,Canada,Thompson,Kanada
YTR,-77.583336,44.1,CA,Trenton,NA,airport,medium,-5,CYTR,Trenton,Canada,Trenton,Kanada
YTS,-81.37164,48.566372,CA,Timmins,NA,airport,medium,-5,CYTS,Timmins,Canada,Timmins,Kanada
YTZ,-79.39585,43.632023,CA,City Centre,NA,airport,medium,-5,CYTZ,Toronto,Canada,Toronto,Kanada
YUB,-133.025,69.436386,CA,Tuktoyaktuk,NA,airport,medium,-7,CYUB,Tuktoyaktuk,Canada,Tuktoyaktuk,Kanada
YUL,-73.74991,45.457714,CA,Pierre Elliott Trudeau Intl,NA,airport,large,-5,CYUL,Montreal,Canada,Montreal,Kanada
YUT,-86.25,66.53333,CA,Repulse Bay,NA,airport,medium,-6,CYUT,Repulse Bay,Canada,Repulse Bay,Kanada
YUX,-81.25,68.78333,CA,Hall Beach,NA,airport,medium,-5,CYUX,Hall Beach,Canada,Hall Beach,Kanada
YUY,-78.83056,48.205555,CA,Rouyn Noranda,NA,airport,medium,-5,CYUY,Rouyn,Canada,Rouyn,Kanada
YVC,-105.26066,55.15126,CA,La Ronge,NA,airport,medium,-6,CYVC,La Ronge,Canada,La Ronge,Kanada
YVM,-63.833332,67.583336,CA,Qikiqtarjuaq,NA,airport,medium,-5,CYVM,Broughton Island,Canada,Broughton Insel,Kanada
YVO,-77.78858,48.052605,CA,Val D Or,NA,airport,medium,-5,CYVO,Val D'or,Canada,Val D'or,Kanada
YVP,-68.41798,58.10024,CA,Kuujjuaq,NA,airport,medium,-5,CYVP,Quujjuaq,Canada,Quujjuaq,Kanada
YVQ,-126.79337,65.277855,CA,Norman Wells,NA,airport,medium,-7,CYVQ,Norman Wells,Canada,Norman Wells,Kanada
YVR,-123.17919,49.1947,CA,Vancouver Intl,NA,airport,large,-8,CYVR,Vancouver,Canada,Vancouver,Kanada
YVT,-108.46667,55.86667,CA,Buffalo Narrows,NA,airport,small,-6,CYVT,Buffalo Narrows,Canada,Buffalo Narrows,Kanada
YVV,-81.166664,44.666668,CA,Wiarton,NA,airport,medium,-5,CYVV,Wiarton,Canada,Wiarton,Kanada
YWA,-77.28333,45.9,CA,Petawawa,NA,airport,medium,-5,CYWA,Petawawa,Canada,Petawawa,Kanada
YWG,-97.23333,49.9,CA,Winnipeg Intl,NA,airport,large,-6,CYWG,Winnipeg,Canada,Winnipeg,Kanada
YWK,-66.874,52.926315,CA,Wabush,NA,airport,medium,-4,CYWK,Wabush,Canada,Wabush,Kanada
YWL,-122.04444,52.184723,CA,Williams Lake,NA,airport,medium,-8,CYWL,Williams Lake,Canada,Williams Lake,Kanada
YWY,-123.438614,63.210556,CA,Wrigley,NA,airport,medium,-7,CYWY,Wrigley,Canada,Wrigley,Kanada
YXC,-115.787025,49.61437,CA,Canadian Rockies Intl,NA,airport,medium,-7,CYXC,Cranbrook,Canada,Cranbrook,Kanada
YXD,-113.51667,53.566666,CA,Edmonton City Centre,NA,airport,medium,-7,CYXD,Edmonton,Canada,Edmonton,Kanada
YXE,-106.69037,52.169704,CA,Saskatoon J G Diefenbaker Intl,NA,airport,medium,-6,CYXE,Saskatoon,Canada,Saskatoon,Kanada
YXH,-110.72083,50.015835,CA,Medicine Hat,NA,airport,medium,-7,CYXH,Medicine Hat,Canada,Medicine Hat,Kanada
YXJ,-120.73437,56.247883,CA,Fort St John,NA,airport,medium,-8,CYXJ,Fort Saint John,Canada,Fort Saint John,Kanada
YXL,-91.903,50.115208,CA,Sioux Lookout,NA,airport,medium,-6,CYXL,Sioux Lookout,Canada,Sioux Lookout,Kanada
YXP,-65.73333,66.13333,CA,Pangnirtung,NA,airport,medium,-5,CYXP,Pangnirtung,Canada,Pangnirtung,Kanada
YXR,-79.851944,47.697224,CA,Timiskaming Rgnl,NA,airport,medium,-5,CYXR,Earlton,Canada,Earlton,Kanada
YXS,-122.67396,53.88381,CA,Prince George,NA,airport,medium,-8,CYXS,Prince George,Canada,Prince George,Kanada
YXT,-128.57445,54.465557,CA,Terrace,NA,airport,medium,-8,CYXT,Terrace,Canada,Terrasse,Kanada
YXU,-81.14965,43.02802,CA,London,NA,airport,large,-5,CYXU,London,Canada,London,Kanada
YXX,-122.361946,49.025555,CA,Abbotsford,NA,airport,medium,-8,CYXX,Abbotsford,Canada,Abbotsford,Kanada
YXY,-135.06667,60.716667,CA,Whitehorse Intl,NA,airport,medium,-8,CYXY,Whitehorse,Canada,Whitehorse,Kanada
YYB,-79.42725,46.356823,CA,North Bay,NA,airport,medium,-5,CYYB,North Bay,Canada,North Bay,Kanada
YYC,-114.01055,51.131393,CA,Calgary Intl,NA,airport,large,-7,CYYC,Calgary,Canada,Calgary,Kanada
YYD,-127.180275,54.825558,CA,Smithers,NA,airport,medium,-8,CYYD,Smithers,Canada,Smithers,Kanada
YYE,-122.583336,58.833332,CA,Fort Nelson,NA,airport,medium,-8,CYYE,Fort Nelson,Canada,Fort Nelson,Kanada
YYF,-119.6,49.46472,CA,Penticton,NA,airport,medium,-8,CYYF,Penticton,Canada,Penticton,Kanada
YYG,-63.131737,46.285896,CA,Charlottetown,NA,airport,medium,-4,CYYG,Charlottetown,Canada,Charlottetown,Kanada
YYH,-93.51667,69.53333,CA,Taloyoak,NA,airport,medium,-6,CYYH,Spence Bay,Canada,Spence Bay,Kanada
YYJ,-123.43096,48.640266,CA,Victoria Intl,NA,airport,large,-8,CYYJ,Victoria,Canada,Victoria,Kanada
YYL,-101.066666,56.86667,CA,Lynn Lake,NA,airport,medium,-6,CYYL,Lynn Lake,Canada,Lynn Lake,Kanada
YYN,-107.833336,50.283333,CA,Swift Current,NA,airport,medium,-6,CYYN,Swift Current,Canada,Swift Current,Kanada
YYQ,-94.07449,58.74819,CA,Churchill,NA,airport,medium,-6,CYYQ,Churchill,Canada,Churchill,Kanada
YYR,-60.4124,53.313534,CA,Goose Bay,NA,airport,medium,-4,CYYR,Goose Bay,Canada,Goose Bay,Kanada
YYT,-52.74334,47.61282,CA,St Johns Intl,NA,airport,medium,-3.5,CYYT,St. John's,Canada,Johannes,Kanada
YYU,-82.47083,49.4125,CA,Kapuskasing,NA,airport,medium,-5,CYYU,Kapuskasing,Canada,Kapuskasing,Kanada
YYW,-88.91173,50.29431,CA,Armstrong,NA,airport,medium,-5,CYYW,Armstrong,Canada,Armstrong,Kanada
YYY,-68.2,48.6,CA,Mont Joli,NA,airport,medium,-5,CYYY,Mont Joli,Canada,Mont Joli,Kanada
YYZ,-79.61146,43.681583,CA,Lester B Pearson Intl,NA,airport,large,-5,CYYZ,Toronto,Canada,Toronto,Kanada
YZD,-79.46555,43.74278,CA,Downsview,NA,airport,medium,-5,CYZD,Toronto,Canada,Toronto,Kanada
YZE,-82.56778,45.885277,CA,Gore Bay Manitoulin,NA,airport,medium,-5,CYZE,Gore Bay,Canada,Gore Bay,Kanada
YZF,-114.4375,62.470867,CA,Yellowknife,NA,airport,medium,-7,CYZF,Yellowknife,Canada,Yellowknife,Kanada
YZH,-114.78333,55.3,CA,Slave Lake,NA,airport,medium,-7,CYZH,Slave Lake,Canada,Slave Lake,Kanada
YZP,-131.81277,53.254444,CA,Sandspit,NA,airport,medium,-8,CYZP,Sandspit,Canada,Sandspit,Kanada
YZR,-82.31111,42.997223,CA,Chris Hadfield,NA,airport,medium,-5,CYZR,Sarnia,Canada,Sarnia,Kanada
YZT,-127.36389,50.680557,CA,Port Hardy,NA,airport,medium,-8,CYZT,Port Hardy,Canada,Port Hardy,Kanada
YZU,-115.78333,54.15,CA,Whitecourt,NA,airport,medium,-7,CYZU,Whitecourt,Canada,Whitecourt,Kanada
YZV,-66.26404,50.21751,CA,Sept Iles,NA,airport,medium,-5,CYZV,Sept-iles,Canada,Sept-Iles,Kanada
YZW,-132.71666,60.166668,CA,Teslin,NA,airport,medium,-8,CYZW,Teslin,Canada,Teslin,Kanada
YZX,-118.666664,49.166668,CA,Greenwood,NA,airport,medium,-4,CYZX,Greenwood,Canada,Greenwood,Kanada
ZFA,-133.36667,63.216667,CA,Faro,NA,airport,medium,-8,CZFA,Faro,Canada,Faro,Kanada
ZFM,-134.95277,67.477776,CA,Fort Mcpherson,NA,airport,medium,-7,CZFM,Fort Mcpherson,Canada,Fort Mcpherson,Kanada
BJA,5.083333,36.75,DZ,Soummam,AF,airport,medium,1,DAAE,Bejaja,Algeria,Bejaja,Algerien
ALG,3.21167,36.70058,DZ,Houari Boumediene,AF,airport,large,1,DAAG,Algier,Algeria,Algier,Algerien
DJG,9.488889,24.465279,DZ,Tiska,AF,airport,medium,1,DAAJ,Djanet,Algeria,Djanet,Algerien
QFD,,,DZ,Boufarik,AF,airport,medium,1,DAAK,Boufarik,Algeria,Boufarik,Algerien
VVZ,8.55,26.533333,DZ,Illizi Takhamalt,AF,airport,medium,1,DAAP,Illizi,Algeria,Illizi,Algerien
TMR,5.459167,22.814722,DZ,Tamanrasset,AF,airport,medium,1,DAAT,Tamanrasset,Algeria,Tamanrasset,Algerien
GJL,5.883333,36.8,DZ,Jijel,AF,airport,medium,1,DAAV,Jijel,Algeria,Jijel,Algerien
AAE,7.811857,36.821392,DZ,Annaba,AF,airport,medium,1,DABB,Annaba,Algeria,Annaba,Algerien
CZL,6.618425,36.286476,DZ,Mohamed Boudiaf Intl,AF,airport,medium,1,DABC,Constantine,Algeria,Constantine,Algerien
TEE,8.124067,35.428593,DZ,Cheikh Larbi Tebessi,AF,airport,medium,1,DABS,Tebessa,Algeria,Tebessa,Algerien
HRM,3.2,33.166668,DZ,Hassi R Mel,AF,airport,medium,1,DAFH,Tilrempt,Algeria,Tilrempt,Algerien
TID,1.46946,35.343273,DZ,Bou Chekif,AF,airport,medium,1,DAOB,Tiaret,Algeria,Tiaret,Algerien
TIN,-8.163246,27.701162,DZ,Tindouf,AF,airport,medium,1,DAOF,Tindouf,Algeria,Tindouf,Algerien
QAS,,,DZ,Ech Cheliff,AF,airport,medium,1,DAOI,Ech-cheliff,Algeria,Ech-Cheliff,Algerien
TAF,-0.610556,35.627777,DZ,Tafaraoui,AF,airport,medium,1,DAOL,Oran,Algeria,Oran,Algerien
TLM,-1.45,35.016666,DZ,Zenata,AF,airport,medium,1,DAON,Tlemcen,Algeria,Tlemcen,Algerien
ORN,-0.606108,35.620018,DZ,Es Senia,AF,airport,medium,1,DAOO,Oran,Algeria,Oran,Algerien
MUW,0.147669,35.208534,DZ,Ghriss,AF,airport,medium,1,DAOV,Ghriss,Algeria,Ghriss,Algerien
AZR,-0.283333,27.883333,DZ,Touat Cheikh Sidi Mohamed Belkebir,AF,airport,medium,1,DAUA,Adrar,Algeria,Adrar,Algerien
BSK,5.738056,34.79333,DZ,Biskra,AF,airport,medium,1,DAUB,Biskra,Algeria,Biskra,Algerien
ELG,2.864722,30.5675,DZ,El Golea,AF,airport,medium,1,DAUE,El Golea,Algeria,El Golea,Algerien
GHA,3.800556,32.38222,DZ,Noumerat,AF,airport,medium,1,DAUG,Ghardaia,Algeria,Ghardaia,Algerien
